Designator,Mid X,Mid Y,Rotation,Layer
SW65,283.21,-147.0025,0.0,top
SW66,302.26,-147.0025,0.0,top
SW67,321.31,-147.0025,0.0,top
SW68,340.36,-147.0025,0.0,top
SW7,168.91,-70.8025,0.0,top
SW8,187.96,-70.8025,0.0,top
SW9,207.01,-70.8025,0.0,top
U1,130.81,-95.5675,180.0,bottom
U2,264.16,-95.885,180.0,bottom
U3,145.43,-144.4875,180.0,bottom
Y1,158.13,-142.5825,270.0,bottom
